id_pedido,id_cliente,id_canal,fecha_pedido,estado_pedido,monto_total
219,45,3,2026-02-07,creado,55337000
220,47,2,2026-02-22,pagado,1263000
221,47,2,2026-03-10,pagado,32000
222,47,3,2026-02-28,pagado,1536000
223,47,2,2026-01-08,pagado,233000
224,48,1,2024-07-19,entregado,1215000
225,48,2,2025-11-27,creado,506000
226,48,2,2026-05-21,creado,724000
227,49,2,2025-01-20,entregado,431000
228,50,2,2025-11-28,entregado,129000
229,50,2,2025-12-06,creado,752000
230,50,2,2025-12-17,entregado,1243000
231,50,2,2025-12-09,creado,188000
232,50,1,2026-03-10,creado,372000
233,51,1,2026-01-10,entregado,218000
234,51,1,2025-08-24,entregado,43000
235,51,1,2026-01-06,entregado,2143000
236,51,1,2026-04-10,entregado,858000
237,51,2,2026-04-28,entregado,321000
238,51,2,2026-05-27,entregado,657000
239,52,1,2026-02-01,entregado,40983000
240,52,1,2026-01-14,entregado,50909000
241,52,3,2025-02-12,entregado,21432000
242,54,2,2026-03-15,creado,1394000
243,54,1,2026-03-13,creado,438000
244,54,1,2026-03-04,entregado,1254000
245,55,1,2025-07-15,entregado,781000
246,55,2,2024-12-23,entregado,341000
247,55,1,2025-11-05,entregado,564000
248,55,1,2025-02-12,entregado,486000
249,55,2,2026-03-06,pagado,198000
250,56,3,2026-03-23,entregado,1306000
251,56,1,2026-04-26,entregado,1429000
252,56,1,2026-05-09,entregado,797000
253,56,1,2026-04-04,creado,722000
254,56,2,2026-03-08,creado,1329000
255,56,1,2026-04-08,creado,862000
256,57,2,2026-01-02,creado,800000
257,57,1,2026-05-20,entregado,1450000
258,57,1,2025-07-15,pagado,419000
259,58,1,2026-04-24,creado,41918000
260,58,3,2026-04-16,entregado,77039000
261,58,1,2026-05-25,entregado,25335000
262,58,3,2026-05-13,entregado,50550000
263,59,3,2025-05-06,entregado,23170000
264,59,3,2026-02-14,entregado,15341000
265,59,2,2025-08-26,entregado,35934000
266,60,1,2026-03-03,pagado,306000
267,60,3,2026-03-14,entregado,424000
268,61,2,2025-09-02,pagado,174000
269,62,2,2025-08-01,creado,1813000
270,62,2,2026-04-09,entregado,201000
271,62,2,2026-03-07,entregado,393000
272,63,1,2025-05-04,pagado,564000
273,64,3,2025-01-12,entregado,51166000
274,65,3,2026-04-14,entregado,73541000
275,65,1,2026-04-27,entregado,72390000
276,66,2,2025-10-12,entregado,421000
277,66,3,2025-02-19,creado,1857000
278,66,1,2024-10-02,pagado,963000
279,66,1,2025-03-08,creado,472000
280,67,1,2025-07-13,entregado,708000
281,68,3,2026-03-26,entregado,81678000
282,68,3,2026-03-09,creado,25003000
283,68,3,2026-04-07,entregado,52243000
284,68,3,2026-05-14,entregado,58104000
285,68,3,2026-03-14,creado,57088000
286,68,3,2026-03-27,creado,35864000
287,69,3,2025-05-21,entregado,376000
288,69,1,2025-06-14,pagado,2268000
289,69,1,2025-09-12,creado,831000
290,69,1,2025-05-27,entregado,2372000
291,69,2,2026-01-18,pagado,1746000
292,70,2,2026-01-14,creado,1005000
293,71,3,2024-12-02,entregado,19354000
294,71,1,2025-03-05,entregado,38445000
295,71,3,2025-01-08,creado,48719000
296,71,1,2025-07-20,creado,19814000
297,72,2,2026-05-24,creado,1416000
298,72,2,2026-05-07,entregado,1573000
299,72,1,2026-05-18,entregado,1389000
300,73,3,2026-01-24,creado,33055000
301,73,2,2025-02-18,creado,36119000
302,73,3,2025-10-03,pagado,81149000
303,73,3,2025-02-18,creado,53488000
304,74,2,2025-08-03,pagado,1149000
305,75,3,2026-05-18,pagado,27042000
306,75,1,2026-05-09,entregado,45332000
307,75,3,2026-04-22,creado,36660000
308,75,2,2026-02-15,entregado,25036000
309,75,1,2026-05-21,entregado,105998000
310,75,3,2026-05-06,entregado,87702000
311,75,1,2026-02-14,entregado,58944000
312,76,1,2026-02-03,entregado,90000
313,76,3,2026-03-17,entregado,754000
314,76,1,2026-02-20,pagado,381000
315,76,2,2026-05-22,entregado,479000
316,76,1,2026-04-13,entregado,706000
317,77,2,2026-05-01,creado,1935000
318,78,1,2025-12-14,pagado,60459000
319,78,3,2026-03-15,pagado,18887000
320,78,3,2025-07-02,entregado,24793000
321,78,3,2026-01-07,entregado,102076000
322,78,2,2025-12-15,entregado,67397000
323,78,3,2026-03-28,creado,37684000
324,78,1,2026-03-11,entregado,28558000
325,79,2,2026-05-16,entregado,428000
326,79,1,2026-05-13,entregado,293000
327,79,1,2026-05-17,entregado,1110000
328,80,2,2026-03-12,entregado,216000
329,80,1,2026-03-11,entregado,236000
330,80,2,2026-05-19,entregado,255000
331,80,2,2026-05-22,entregado,1437000
332,81,1,2025-11-16,creado,23401000
333,81,2,2026-03-28,creado,74213000
334,82,1,2026-01-26,entregado,2919000
335,82,3,2026-04-25,entregado,1153000
336,82,1,2026-04-16,entregado,926000
337,82,1,2026-02-21,entregado,1374000
338,83,3,2026-03-14,entregado,4832000
339,83,1,2026-04-27,pagado,10525000
340,83,3,2026-04-12,creado,7059000
341,83,1,2026-03-08,creado,7606000
342,83,1,2026-05-03,entregado,9869000
343,84,1,2026-04-12,entregado,741000
344,84,1,2026-05-25,entregado,1780000
345,84,1,2026-01-12,entregado,972000
346,84,1,2026-01-19,entregado,86000
347,84,2,2026-04-19,pagado,259000
348,84,1,2026-02-19,pagado,1106000
349,85,2,2025-12-03,entregado,783000
350,85,2,2026-02-12,entregado,187000
351,85,2,2026-01-17,pagado,87000
352,85,1,2026-03-21,entregado,686000
353,86,3,2025-10-08,pagado,11950000
354,86,1,2025-03-01,creado,27447000
355,86,3,2025-12-22,entregado,27919000
356,86,3,2025-10-18,pagado,41028000
357,86,1,2026-05-21,pagado,55408000
358,86,1,2025-03-05,entregado,10479000
359,86,2,2026-02-03,creado,12739000
360,86,3,2025-03-10,entregado,35433000
361,86,1,2025-08-12,creado,26565000
362,86,3,2025-07-15,entregado,38590000
363,86,3,2025-05-15,creado,71586000
364,87,1,2026-01-22,creado,1130000
365,87,2,2025-01-05,entregado,770000
366,87,1,2026-02-04,entregado,545000
367,87,1,2026-04-06,creado,134000
368,87,1,2025-12-26,entregado,55000
369,87,2,2024-11-24,entregado,564000
370,90,3,2026-04-22,entregado,12893000
371,92,1,2025-12-08,entregado,108000
372,92,1,2025-05-18,entregado,445000
373,92,1,2025-10-03,entregado,353000
374,92,1,2024-10-20,entregado,1070000
375,93,2,2026-02-26,pagado,147000
376,93,3,2025-11-24,creado,251000
377,93,2,2026-02-17,entregado,390000
378,94,3,2026-01-23,creado,23798000
379,95,1,2025-12-03,creado,294000
380,95,1,2025-11-16,pagado,187000
381,96,1,2026-02-04,entregado,108000
382,96,2,2026-04-21,creado,591000
383,96,1,2024-08-26,entregado,86000
384,96,2,2024-07-24,entregado,1133000
385,96,1,2025-03-20,entregado,483000
386,96,2,2025-08-06,entregado,131000
387,97,1,2026-05-14,entregado,63140000
388,97,1,2026-04-14,pagado,47159000
389,97,3,2025-10-09,entregado,118000000
390,98,2,2025-10-01,pagado,718000
391,100,1,2026-05-13,entregado,294000
392,100,2,2026-05-16,entregado,1677000
393,100,2,2026-05-10,pagado,288000
394,100,1,2026-04-20,entregado,463000
395,100,2,2026-04-16,entregado,249000
396,101,3,2025-10-28,creado,57584000
397,101,3,2025-12-15,entregado,29107000
398,102,2,2025-12-25,entregado,625000
399,102,1,2026-02-21,entregado,417000
400,102,3,2026-01-08,entregado,1510000
401,103,3,2024-12-24,entregado,57074000
402,103,1,2024-11-23,entregado,31151000
403,104,2,2026-03-18,entregado,67000
404,104,1,2026-05-06,pagado,1304000
405,104,1,2026-03-13,creado,350000
406,104,1,2026-04-10,entregado,324000
407,104,1,2026-04-04,pagado,288000
408,104,2,2026-05-12,creado,421000
409,105,2,2025-03-10,entregado,15560000
410,106,1,2026-01-15,entregado,178000
411,106,1,2026-05-14,entregado,1679000
412,106,1,2026-04-28,pagado,804000
413,106,1,2025-06-25,creado,75000
414,106,1,2025-12-01,entregado,564000
415,106,2,2025-11-28,entregado,1488000
416,107,1,2026-04-09,entregado,177000
417,107,3,2026-02-20,entregado,87000
418,107,1,2026-02-10,creado,147000
419,107,1,2026-01-24,entregado,262000
420,107,1,2026-05-14,entregado,110000
421,107,1,2026-03-05,entregado,1191000
422,108,1,2025-05-22,pagado,270000
423,108,1,2025-07-20,pagado,252000
424,108,2,2026-02-06,creado,196000
425,108,1,2025-06-18,entregado,854000
426,109,1,2026-05-21,entregado,628000
427,110,1,2025-06-14,entregado,889000
428,111,1,2025-08-23,entregado,261000
429,111,1,2026-01-27,creado,1434000
430,111,2,2026-02-17,entregado,252000
431,111,1,2026-03-22,entregado,98000
432,111,2,2026-05-07,pagado,1483000
433,111,1,2026-04-19,entregado,393000
434,112,2,2025-09-15,entregado,24276000
435,112,3,2026-01-22,creado,40959000
436,112,3,2026-01-17,entregado,35520000
437,112,3,2026-04-15,entregado,9094000
438,114,1,2026-05-21,creado,97882000
439,114,3,2026-05-12,entregado,28656000
440,114,1,2026-05-10,entregado,9176000
441,114,2,2026-05-13,entregado,94016000
442,114,3,2026-05-10,entregado,7086000
443,114,1,2026-05-21,entregado,36432000
444,114,3,2026-05-04,entregado,33896000
445,114,3,2026-05-17,entregado,57527000
446,115,3,2024-11-10,creado,23044000
447,115,3,2024-07-28,entregado,6714000
448,115,2,2024-07-07,pagado,3552000
449,115,1,2025-04-08,entregado,8403000
450,115,2,2025-05-20,entregado,35040000
451,115,3,2026-01-17,entregado,43946000
452,116,2,2025-03-22,entregado,550000
453,116,1,2025-05-12,entregado,236000
454,116,2,2025-07-02,entregado,2124000
455,116,1,2025-03-21,entregado,86000
456,116,3,2024-10-02,creado,1063000
457,117,1,2026-04-04,creado,1048000
458,118,3,2026-05-21,creado,18928000
459,118,3,2026-03-14,entregado,17819000
460,118,1,2026-02-24,entregado,32350000
461,118,3,2026-02-25,creado,43142000
462,118,3,2026-01-23,entregado,18578000
463,119,2,2026-01-21,creado,98000
464,119,2,2026-02-20,entregado,754000
465,119,2,2025-11-02,entregado,201000
466,119,1,2026-03-05,entregado,129000
467,119,2,2025-10-11,entregado,1167000
468,119,1,2025-11-02,creado,1201000
469,120,2,2026-03-16,entregado,64000
470,120,2,2025-11-27,entregado,270000
471,120,1,2026-02-21,entregado,924000
472,121,2,2026-01-21,entregado,47805000
473,121,3,2026-05-27,creado,56746000
474,121,3,2025-03-23,entregado,29423000
475,121,1,2026-01-19,creado,25554000
476,122,2,2026-05-17,pagado,12107000
477,122,3,2026-05-21,entregado,93837000
478,122,3,2026-05-24,entregado,19752000
479,123,2,2026-05-11,entregado,484000
480,123,1,2025-12-04,pagado,1853000
481,123,1,2026-05-18,entregado,441000
482,123,1,2025-12-17,entregado,1143000
483,123,1,2025-12-19,pagado,108000
484,124,1,2026-05-20,entregado,647000
485,124,1,2026-03-07,entregado,273000
486,124,1,2026-02-04,pagado,880000
487,124,2,2026-02-15,pagado,376000
488,124,1,2026-03-13,entregado,1530000
489,125,1,2026-01-09,creado,1994000
490,125,1,2025-12-25,creado,147000
491,125,1,2026-02-23,pagado,1332000
492,125,2,2025-12-03,creado,483000
493,125,2,2026-05-11,entregado,165000
494,125,2,2025-12-04,entregado,1034000
495,126,1,2026-03-19,entregado,404000
496,126,1,2026-03-03,entregado,692000
497,126,1,2026-01-25,creado,2061000
498,127,3,2026-03-09,entregado,40785000
499,127,3,2026-04-01,pagado,25453000
500,127,1,2026-04-13,creado,58745000
501,127,1,2026-04-16,entregado,11289000
502,128,2,2026-04-01,entregado,843000
503,128,2,2026-05-24,pagado,1110000
504,128,2,2026-04-09,entregado,147000
505,128,2,2026-05-15,pagado,568000
506,128,1,2026-05-22,entregado,1140000
507,128,1,2026-05-28,pagado,439000
508,129,3,2026-05-22,pagado,165000
509,130,2,2025-08-16,entregado,108801000
510,130,3,2026-01-13,entregado,10939000
511,130,1,2025-09-03,entregado,45844000
512,130,1,2026-01-07,creado,58346000
513,131,1,2025-12-10,entregado,731000
514,131,1,2025-12-20,entregado,1483000
515,131,1,2025-01-02,pagado,1314000
516,132,1,2025-12-22,entregado,1055000
517,132,1,2026-05-18,entregado,216000
518,132,1,2026-01-22,entregado,612000
519,132,1,2025-12-12,pagado,1014000
520,132,2,2025-12-14,pagado,576000
521,133,3,2026-04-19,entregado,26054000
522,133,1,2025-10-01,entregado,29155000
523,133,1,2026-01-20,pagado,93020000
524,134,2,2026-03-25,entregado,868000
525,134,2,2025-07-06,entregado,441000
526,134,1,2025-08-02,pagado,408000
527,134,3,2025-12-22,pagado,349000
528,135,3,2024-12-15,entregado,7287000
529,135,2,2025-01-02,entregado,31697000
530,135,3,2025-12-18,entregado,43300000
531,135,3,2025-02-15,creado,44043000
532,135,3,2025-09-24,creado,28490000
533,135,2,2025-03-13,entregado,29586000
534,135,1,2026-04-02,creado,19896000
535,135,3,2025-06-27,entregado,15810000
536,136,2,2026-04-15,pagado,732000
537,137,3,2026-01-09,entregado,262000
538,137,2,2026-04-28,entregado,230000
539,137,1,2025-10-28,creado,87000
540,138,2,2026-04-02,entregado,261000
541,140,2,2026-02-26,entregado,86000
542,140,2,2026-02-23,creado,1993000
543,140,2,2026-03-04,pagado,212000
544,140,2,2026-05-12,pagado,769000
545,140,1,2026-05-26,creado,714000
546,141,1,2026-04-06,pagado,13224000
547,141,3,2026-01-06,entregado,53389000
548,141,1,2025-11-10,creado,14485000
549,141,3,2026-02-28,entregado,32460000
550,141,2,2025-11-20,creado,47459000
551,141,3,2026-04-04,entregado,66128000
552,141,3,2026-03-05,pagado,55191000
553,141,1,2025-11-16,pagado,30987000
554,141,1,2025-12-09,entregado,26133000
555,142,3,2025-12-03,entregado,216000
556,142,2,2026-01-13,entregado,334000
557,143,2,2026-04-04,creado,324000
558,143,1,2026-03-03,pagado,700000
559,143,2,2026-03-11,pagado,674000
560,143,1,2026-03-19,creado,540000
561,144,2,2025-09-28,entregado,441000
562,144,2,2026-01-18,creado,55000
563,144,2,2024-11-28,entregado,576000
564,144,1,2024-10-18,entregado,217000
565,144,1,2026-04-28,entregado,1548000
566,144,1,2025-07-15,creado,190000
567,145,2,2025-11-17,pagado,926000
568,146,1,2026-05-28,entregado,113000
569,146,2,2026-03-11,creado,459000
570,147,2,2025-02-07,creado,747000
571,147,1,2025-04-28,pagado,606000
572,149,3,2026-04-07,entregado,15524000
573,149,2,2026-05-20,creado,29476000
574,149,3,2026-05-01,entregado,75496000
575,149,3,2026-04-21,pagado,18164000
576,151,2,2026-04-09,entregado,43581000
577,151,2,2025-10-20,entregado,67082000
578,151,2,2026-02-19,pagado,80684000
579,152,3,2025-09-08,entregado,86621000
580,152,3,2026-05-08,creado,186129000
581,152,2,2025-12-05,entregado,24344000
582,152,1,2025-12-26,creado,33018000
583,152,2,2025-12-03,pagado,87720000
584,153,1,2026-01-25,entregado,1878000
585,153,2,2026-04-15,pagado,1404000
586,153,1,2026-01-27,entregado,726000
587,153,2,2025-08-03,entregado,896000
588,153,2,2025-08-08,entregado,1153000
589,154,1,2025-08-09,entregado,86000
590,154,3,2024-10-03,creado,399000
591,154,1,2024-12-12,entregado,174000
592,155,2,2026-03-03,entregado,967000
593,155,3,2026-05-07,entregado,2655000
594,155,1,2026-05-25,pagado,108000
595,155,2,2026-03-15,creado,1425000
596,155,2,2026-04-11,entregado,201000
597,155,1,2026-05-18,pagado,1219000
598,157,2,2025-08-16,creado,383000
599,157,1,2026-03-14,creado,738000
600,157,2,2025-12-22,pagado,493000
601,157,1,2026-02-25,entregado,49000
602,157,1,2025-05-11,entregado,896000
603,157,1,2026-03-27,entregado,250000
604,158,2,2026-05-20,entregado,218000
605,158,1,2026-05-25,creado,408000
606,159,3,2025-09-03,entregado,74396000
607,159,3,2026-02-09,pagado,68846000
608,159,3,2026-02-13,entregado,71270000
609,159,3,2025-11-26,entregado,72202000
610,159,3,2025-12-17,creado,81907000
611,159,2,2025-08-02,entregado,88281000
612,159,1,2026-05-14,creado,8181000
613,159,3,2025-12-05,creado,35714000
614,159,3,2025-07-28,pagado,120061000
615,160,1,2025-12-17,entregado,2295000
616,160,2,2026-02-23,entregado,2346000
617,162,1,2026-01-22,entregado,36728000
618,162,2,2025-09-11,entregado,38325000
619,162,3,2026-05-03,creado,77737000
620,162,3,2025-08-07,entregado,5527000
621,162,3,2025-11-26,entregado,108547000
622,162,1,2026-02-06,creado,54939000
623,162,3,2025-08-28,entregado,17176000
624,162,3,2025-10-20,entregado,37536000
625,162,3,2026-02-12,entregado,48321000
626,162,3,2026-05-04,entregado,30758000
627,163,1,2026-03-25,entregado,902000
628,163,1,2026-02-25,pagado,1766000
629,164,2,2025-02-22,creado,453000
630,164,2,2025-11-11,pagado,391000
631,164,1,2026-03-03,entregado,552000
632,164,2,2025-12-10,pagado,926000
633,164,1,2026-02-13,pagado,892000
634,164,1,2025-03-14,pagado,546000
635,165,1,2025-02-26,pagado,37739000
636,165,3,2024-09-05,creado,52221000
637,165,3,2024-11-20,entregado,33049000
638,166,1,2026-05-07,entregado,110000
639,166,1,2026-04-03,pagado,716000
640,166,3,2026-04-07,entregado,904000
641,166,1,2026-04-09,entregado,564000
642,167,3,2026-03-12,creado,63936000
643,167,3,2025-09-17,pagado,5052000
644,167,3,2025-07-27,entregado,20788000
645,167,1,2025-10-11,pagado,24612000
646,168,2,2025-08-11,entregado,1628000
647,168,1,2025-04-26,entregado,1791000
648,168,2,2025-04-19,entregado,324000
649,168,2,2025-06-13,entregado,1139000
650,168,1,2025-03-13,entregado,655000
651,168,1,2024-10-14,entregado,1655000
652,169,3,2026-05-02,entregado,57921000
653,169,2,2026-05-13,entregado,11140000
654,169,3,2026-05-10,pagado,10631000
655,169,1,2026-05-14,pagado,17349000
656,169,3,2026-05-20,entregado,14808000
657,170,3,2026-01-17,entregado,49905000
658,170,3,2025-12-04,entregado,14447000
659,170,3,2025-12-05,pagado,11259000
660,170,3,2026-01-07,pagado,20673000
661,170,3,2026-03-11,creado,80400000
662,170,3,2026-03-22,pagado,40920000
663,170,2,2026-01-18,creado,48143000
664,171,2,2025-05-11,entregado,8137000
665,171,1,2025-06-18,pagado,63644000
666,171,3,2025-08-05,creado,84256000
667,171,1,2025-07-15,pagado,65198000
668,171,3,2025-11-12,creado,62138000
669,171,3,2026-02-19,pagado,14488000
670,171,3,2025-05-16,pagado,41935000
671,172,2,2026-04-04,entregado,404000
672,173,2,2026-02-19,entregado,1329000
673,173,2,2025-09-08,entregado,1710000
674,175,2,2026-04-04,pagado,374000
675,177,1,2025-05-28,creado,461000
676,177,2,2025-03-21,entregado,1017000
677,177,2,2025-05-23,creado,481000
678,177,3,2026-02-27,pagado,1052000
679,177,2,2025-12-17,entregado,992000
680,177,2,2025-04-23,creado,174000
681,178,1,2025-11-23,entregado,826000
682,178,2,2026-03-26,pagado,43000
683,178,1,2026-05-18,creado,108000
